실적일자,분당,수원,청주,양산
2021-10-29,553,543,0,266
2021-10-30,308,303.8,0,202.4
2021-10-31,,455,0,412.6
2021-11-01,395,429.2,0,344.4
2021-11-02,500,477.2,0,394.8
2021-11-03,574,533.4,0,405.6
2021-11-04,298,314.4,0,394.8
2021-11-05,531,490.6,0,318.8
2021-11-06,544,514.8,0,350.4
2021-11-07,509,498,0,204.4
2021-11-08,82,79.4,0,40
2021-11-09,174,141.2,0,287.2
2021-11-10,296,288,0,239.2
2021-11-11,,478,0,324.4
2021-11-12,557,444,0,325.6
2021-11-13,513,467.4,0,422.4
2021-11-14,443,352.8,0,376.8
2021-11-15,474,452.8,0,361.2
2021-11-16,,477.4,0,361.6
2021-11-17,498,485,0,364
2021-11-18,288,243.6,0,353.6
2021-11-19,331,201.2,0,380.4
2021-11-20,346,242.2,0,317.6
2021-11-21,196,130.6,0,174.8
2021-11-22,360,388.6,0,169.2
2021-11-23,285,214.2,0,364.8
2021-11-24,292,208.8,0,297.6
2021-11-25,,423,0,334
2021-11-26,400,456,0,394.8
2021-11-27,520,500.2,0,382.4
2021-11-28,496,380.2,0,374
2021-11-29,365,400.2,0,378.4
2021-11-30,50,17.6,0,4.8
2021-12-01,451,534.8,0,400.8
2021-12-02,371,394.4,0,401.6
2021-12-03,509,463,0,290.8
2021-12-04,412,389,0,360.8
2021-12-05,,472.2,0,260.4
2021-12-06,422,446.8,0,188.4
2021-12-07,400,370.4,0,341.2
2021-12-08,445,453.6,0,322.4
2021-12-09,196,178.2,0,254
2021-12-10,77,37.6,0,258
2021-12-11,225,239.6,0,315.6
2021-12-12,418,422.8,0,199.6
2021-12-13,488,505,0,396
2021-12-14,264,271,0,376.8
2021-12-15,194,133.6,0,224
2021-12-16,288,290.8,0,64.4
2021-12-17,468,485.6,0,362.8
2021-12-18,326,340.4,0,401.2
2021-12-19,288,327.6,0,374.4
2021-12-20,307,327,0,328
2021-12-21,332,307.6,0,325.6
2021-12-22,429,445,0,356
2021-12-23,386,386.8,0,321.2
2021-12-24,,46.8,0,196
2021-12-25,578,520.6,0,403.2
2021-12-26,457,526,0,413.6
2021-12-27,249,262.8,0,393.2
2021-12-28,161,154,0,345.6
2021-12-29,124,129.8,0,192.8
2021-12-30,336,338.2,0,438.8
2021-12-31,498,516,0,398.8
2022-01-01,429,461.4,0,391.6
2022-01-02,378,393.4,0,366
2022-01-03,372,410.8,0,382.8
2022-01-04,449,488.6,0,344.8
2022-01-05,228,222.8,0,129.6
2022-01-06,451,488.8,0,381.6
2022-01-07,432,471.2,0,383.2
2022-01-08,193,220.4,0,393.2
2022-01-09,232,276.4,0,261.2
2022-01-10,284,273.4,0,268
2022-01-11,390,446.6,0,324.4
2022-01-12,475,531.4,0,422.8
2022-01-13,484,524.8,0,380.8
2022-01-14,480,527.6,0,425.2
2022-01-15,230,209.2,0,292.8
2022-01-16,490,539.4,0,323.2
2022-01-17,329,336,0,385.6
2022-01-18,467,547.4,0,431.2
2022-01-19,58,84.8,0,370.8
2022-01-20,374,532,0,420.4
2022-01-21,512,557.2,0,396.4
2022-01-22,259,261,0,311.6
2022-01-23,370,392.8,0,170
2022-01-24,409,499.2,0,71.6
2022-01-25,101,47,0,105.2
2022-01-26,440,487.4,0,372.8
2022-01-27,465,479,0,378.8
2022-01-28,539,587,0,416.4
2022-01-29,564,600.6,0,308.8
2022-01-30,559,600.2,0,386.4
2022-01-31,467,532.2,0,436.8
2022-02-01,161,110,0,366.8
2022-02-02,1092,394,0,314.4
2022-02-03,,415.6,0,446
2022-02-04,2599,383.6,0,432.4
2022-02-05,1274,346,0,468
2022-02-06,1394,393.2,0,460
2022-02-07,1158,260,0,363.6
2022-02-08,1305,362.4,0,405.6
2022-02-09,1172,366.4,0,372
2022-02-10,251,389.6,0,387.2
2022-02-11,210,346.4,0,419.6
2022-02-12,250,372.4,0,403.6
2022-02-13,147,258.8,0,247.2
2022-02-14,11,211.6,0,245.6
2022-02-15,213,272.4,0,434
2022-02-16,274,412,0,442
2022-02-17,296,469.2,0,449.2
2022-02-18,,440.4,0,434
2022-02-19,412,232.8,0,232.4
2022-02-20,310,490,0,494
2022-02-21,201,313.6,0,485.6
2022-02-22,258,460.8,0,484.4
2022-02-23,307,490.8,0,369.2
2022-02-24,300,481.6,0,471.6
2022-02-25,186,309.6,0,435.2
2022-02-26,132,200,0,414.8
2022-02-27,307,482.8,0,489.2
2022-02-28,185,5451,0,367.4
2022-03-01,207,139.2,0,245.2
2022-03-02,698,498.8,0,489.2
2022-03-03,669,450,0,492
2022-03-04,430,318.4,0,326
2022-03-05,709,510.8,0,409.6
2022-03-06,732,523.6,0,542.4
2022-03-07,554,418,0,356.4
2022-03-08,594,435.2,0,476.4
2022-03-09,625,442.8,0,471.6
2022-03-10,554,394.8,0,371.2
2022-03-11,976,282.8,0,283.2
2022-03-12,401,289.6,0,349.2
2022-03-13,,32.8,0,32.8
2022-03-14,188,40.8,0,68.4
2022-03-15,583,372.8,0,508
2022-03-16,594,376,0,516
2022-03-17,281,219.2,0,92.8
2022-03-18,167,111.6,0,111.6
2022-03-19,167,41.6,0,183.2
2022-03-20,523,341.6,0,254.8
2022-03-21,536,381.2,0,484.8
2022-03-22,732,523.2,0,491.2
2022-03-23,256,166.4,0,230.8
2022-03-24,218,161.2,0,470.8
2022-03-25,378,268,0,334
2022-03-26,252,133.2,0,285.2
2022-03-27,718,503.2,0,561.2
2022-03-28,786,563.6,0,422
2022-03-29,747,537.6,0,552.4
2022-03-30,245,146.4,0,264
2022-03-31,509,5153.6,0,240.6
